iso3,year,value
ECU,2003,61.5418469886978
ECU,2002,61.2871268050958
ECU,2001,61.0123544006659
ECU,2000,60.6865005107058
EGY,2020,42.5181534630674
EGY,2019,42.4812027332648
EGY,2018,42.4577177449969
EGY,2017,42.4486008687179
EGY,2016,42.5210717266225
EGY,2015,42.6056314089048
EGY,2014,42.6825522284408
EGY,2013,42.7514277188751
EGY,2012,42.8118514138525
EGY,2011,42.8634168470177
EGY,2010,42.9057175520154
EGY,2009,42.9383470624904
EGY,2008,42.9608989120873
EGY,2007,42.9729666344509
EGY,2006,42.9729991680104
EGY,2005,42.9569271409488
EGY,2004,42.9255593360476
EGY,2003,42.8834685533792
EGY,2002,42.8347629483917
EGY,2001,42.7835506765333
EGY,2000,42.7339398932519
SLV,2020,73.0570220947266
SLV,2019,72.4148941040039
SLV,2018,71.7577209472656
SLV,2017,71.0856704711914
SLV,2016,70.3990173339844
SLV,2015,69.6982116699219
SLV,2014,68.9166664266223
SLV,2013,68.0878511957995
SLV,2012,67.2232666950659
SLV,2011,66.334413642034
SLV,2010,65.4327927543162
SLV,2009,64.5299047495248
SLV,2008,63.6372503452723
SLV,2007,62.7676878093683
SLV,2006,61.9068679391763
SLV,2005,61.0308213239291
SLV,2004,60.1425374326239
SLV,2003,59.2468576589718
SLV,2002,58.3486233966841
SLV,2001,57.4526760394716
SLV,2000,56.5638569810457
GNQ,2020,70.3853314193247
GNQ,2019,70.1175419547293
GNQ,2018,69.8396623666175
GNQ,2017,69.5516019132985
GNQ,2016,69.253269853051
GNQ,2015,68.951270615355
GNQ,2014,65.5593240167184
GNQ,2013,62.2120073583984
GNQ,2012,59.0106940671203
GNQ,2011,55.9743349096911
GNQ,2010,53.1218806529176
GNQ,2009,50.4722820636069
GNQ,2008,48.0444899085658
GNQ,2007,45.8574549546013
GNQ,2006,43.9301279685204
GNQ,2005,42.2814597171299
GNQ,2004,40.9304009672368
GNQ,2003,39.895902485648
GNQ,2002,39.1969150391705
GNQ,2001,38.8638365386531
GNQ,2000,38.8154587133988
ERI,2020,35.116138458252
ERI,2019,35.2352333068848
ERI,2018,35.3451042175293
ERI,2017,35.4427146911621
ERI,2016,35.5254287719727
ERI,2015,35.591007232666
ERI,2014,35.639720916748
ERI,2013,35.6713333129883
ERI,2012,35.6824264526367
ERI,2011,35.6706275939941
ERI,2010,35.6346549987793
ERI,2009,35.5742034912109
ERI,2008,35.4897117614746
ERI,2007,35.3820953369141
ERI,2006,35.2525177001953
ERI,2005,35.1022033691406
ERI,2004,34.9324645996094
ERI,2003,34.7451286315918
ERI,2002,34.5420799255371
ERI,2001,34.3253211975098
ERI,2000,34.0983619689941
EST,2020,69.8815778947665
EST,2019,69.5787397662154
EST,2018,69.2803532930133
EST,2017,68.9931941915158
EST,2016,68.724038178078
EST,2015,68.4796609690553
EST,2014,68.2668382808032
EST,2013,68.0923458296768
EST,2012,67.9629593320316
EST,2011,67.8775556334506
EST,2010,67.8048042926262
EST,2009,67.7348909034398
EST,2008,67.6696980194394
EST,2007,67.6097866365576
EST,2006,67.5557177507269
EST,2005,67.5080523578799
EST,2004,67.467351453949
EST,2003,67.4341760348669
EST,2002,67.4090870965661
EST,2001,67.3926456349791
EST,2000,67.385529072627
SWZ,2020,24.6652798922192
SWZ,2019,24.3459549517751
SWZ,2018,24.0579295404227
SWZ,2017,23.8052004963161
SWZ,2016,23.5278881746356
SWZ,2015,23.2660261759632
SWZ,2014,23.026850446568
SWZ,2013,22.8121644356992
SWZ,2012,22.6237715926065
SWZ,2011,22.4634753665393
SWZ,2010,22.3330792067471
SWZ,2009,22.2343865624794
SWZ,2008,22.1692008829856
SWZ,2007,22.139989967508
SWZ,2006,22.1505527018245
SWZ,2005,22.2102447619336
SWZ,2004,22.3077107838089
SWZ,2003,22.4312316968119
SWZ,2002,22.5690884303038
